url,title,documentType,contentId,locale,publishing_app,first_published_at,public_updated_at,withdrawn_at,withdrawn_explanation,page_views,taxons,primary_organisation,all_organisations,government,is_political,people,occurrences
https://www.gov.uk/order-copy-birth-death-marriage-certificate,"Order a birth, death, marriage or civil partnership certificate",answer,17a26e6f-1f1d-4585-a9f6-433272730101,en,publisher,2011-09-09T15:41:16.000Z,2015-06-09T15:45:02.000Z,,,55476,"GOV.UK homepage,Getting married ,Certificates, register offices, changes of name or gender,Life circumstances,Marriage, civil partnership and divorce",Government Digital Service,"Foreign, Commonwealth & Development Office,HM Passport Office",,,,
https://www.gov.uk/child-trust-funds/find-a-child-trust-fund,Child Trust Fund: Find a Child Trust Fund,guide,52c5c69b-ccdc-4960-925f-13a2ad69e366,en,publisher,2012-01-26T13:27:05.000Z,2014-11-27T13:56:55.000Z,,,33680,"Life circumstances,Benefits for families,Tax on savings and investments,Tax efficient savings and investments,Money,Welfare,Having a child, parenting and adoption,GOV.UK homepage,Personal tax",Government Digital Service,HM Revenue & Customs,,,,
https://www.gov.uk/power-of-attorney,"Make, register or end a lasting power of attorney",guide,a7012f53-8697-4358-8331-02d55b54a163,en,publisher,2011-12-02T16:26:59.000Z,2024-12-03T00:01:06.721Z,,,27875,"Life circumstances,Lasting power of attorney, being in care and managing finances,GOV.UK homepage",Government Digital Service,Office of the Public Guardian,,,,
https://www.gov.uk/carers-allowance,Carer's Allowance,guide,f508898d-1ba0-46f7-b150-828166886d97,en,publisher,2012-01-13T10:52:26.000Z,2024-10-17T10:36:05.312Z,,,24037,"Welfare,Lasting power of attorney, being in care and managing finances,Disabled people,GOV.UK homepage,Life circumstances,Carers,Carers and disability benefits,Health and social care",Government Digital Service,Department for Work and Pensions,,,,
https://www.gov.uk/manage-lasting-power-attorney/use-lasting-power-of-attorney,Manage a lasting power of attorney: Use a lasting power of attorney,guide,6fc3dcfe-e208-4d78-bb01-1b6b0967d101,en,publisher,2014-09-30T13:01:18.000Z,2024-10-29T13:32:07.741Z,,,19270,"Life circumstances,Lasting power of attorney, being in care and managing finances,GOV.UK homepage",Government Digital Service,Office of the Public Guardian,,,,
https://www.gov.uk/after-a-death/organisations-you-need-to-contact-and-tell-us-once,What to do after someone dies: Tell Us Once,guide,1b5474c1-54ec-44e3-8319-b805264fe58c,en,publisher,2012-01-26T11:57:55.000Z,2024-12-02T16:35:33.552Z,,,18840,"GOV.UK homepage,Certificates, register offices, changes of name or gender,Death and bereavement,Life circumstances",Government Digital Service,"Department for Work and Pensions,HM Courts & Tribunals Service,HM Revenue & Customs,Ministry of Justice",,,,
https://www.gov.uk/help-with-childcare-costs,Help paying for childcare,guide,1a3d4b71-78dc-41b3-97c9-965405892d2e,en,publisher,2012-01-26T13:15:33.000Z,2015-03-24T16:22:50.000Z,,,16997,"Financial help if you have children,Having a child, parenting and adoption,Life circumstances,Parenting, childcare and children's services ,Welfare,Financial support for childcare,Benefits for families,GOV.UK homepage",Government Digital Service,"Department for Education,Department for Education and Skills,HM Revenue & Customs",,,,
https://www.gov.uk/search-will-probate,Search probate records for documents and wills (England and Wales),transaction,9a4dd98e-6543-476b-b5ae-c97399905028,en,publisher,2014-10-01T00:01:31.000Z,2014-12-12T08:00:01.000Z,,,16816,"Death and bereavement,GOV.UK homepage,Life circumstances",Government Digital Service,"HM Courts & Tribunals Service,HM Revenue & Customs",,,,
https://www.gov.uk/research-family-history,Research your family history using the General Register Office,answer,30dd5f93-abe4-4758-aba2-251f99f14332,en,publisher,2012-10-16T20:31:17.000Z,2016-01-29T15:26:54.000Z,,,15047,"Certificates, register offices, changes of name or gender,GOV.UK homepage,Life circumstances",Government Digital Service,HM Passport Office,,,,
https://www.gov.uk/divorce/file-for-divorce,Get a divorce: How to apply,guide,ae26e9b1-b5ec-451f-a235-87e9f323a921,en,publisher,2011-12-13T14:32:11.000Z,2024-11-12T17:13:31.981Z,,,14888,"Getting separated or divorced,Life circumstances,Marriage, civil partnership and divorce,GOV.UK homepage",Government Digital Service,"Ministry of Justice,HM Courts & Tribunals Service",,,,
